week_from,week_to,ticker,stage,substage,confidence,evidence,labeled_at,cohort
2022-W27,2023-W04,086520,genesis,,L,"§3.2 잠정 가설(기억 기반, 실데이터 검증 전): 2차전지 양극재 성장 서사 형성기, 주가 10만원대",2026-08-07,ignited
2023-W05,2023-W13,086520,diffusion,,L,"§3.2 잠정: 개인 순매수 급증 개시, 언급량 상승",2026-08-07,ignited
2023-W14,2023-W17,086520,saturation,과포화-1,M,"§3.2 잠정: 4월 초 숏스퀴즈 국면, 82만원대 고점, 공매도 잔고 이슈 공론화",2026-08-07,ignited
2023-W18,2023-W26,086520,diffusion,조정·재점화 대기(보조라벨 후보),L,"§3.2 잠정: 단순 4단계로 안 잡히는 구간 — 재점화(re-ignition) 보조 라벨 신설 검토",2026-08-07,ignited
2023-W27,2023-W31,086520,saturation,과포화-2,M,"§3.2 잠정: 7/26 장중 150만원대, 황제주 메타 서사, 유튜브 도배 극점",2026-08-07,ignited
2023-W32,2023-W52,086520,decay,,L,"§3.2 잠정: 고점 대비 −50% 이상 하락, 관심 이동. 네트워크 소멸 여부는 별도 판정(§8.3)",2026-08-07,ignited
2022-W27,2023-W04,086520,genesis,,M,"실데이터 대조(2026-08-12): 전 구간 trend_z<1·저변동 확인, 잠정 가설 유지",2026-08-12,ignited
2023-W05,2023-W13,086520,diffusion,,M,"실측: trend_z 최초 >1 = W05(1.34), W07~W13 z 3.1~4.4 지속 — 가설 경계와 정확 일치",2026-08-12,ignited
2023-W14,2023-W17,086520,saturation,과포화-1,H,"실측: z 절대 피크 W15=4.96(검색량 100). 숏스퀴즈·하나증권 매도 리포트(W15) 이벤트 일치",2026-08-12,ignited
2023-W18,2023-W26,086520,diffusion,조정·재점화 대기,M,"z 하락 후 잔존. 이동채 구속(W19)·MSCI 불발(W19) 이벤트 구간",2026-08-12,ignited
2023-W27,2023-W31,086520,saturation,과포화-2,H,"실측: z 재피크 W30=3.70(검색량 100). 7/26 황제주 150만 터치·시총 1위 이벤트 일치",2026-08-12,ignited
2023-W32,2024-W13,086520,decay,,M,"관심 기준 소멸(사용자 확정 2026-08-12): W32부터 z<1 급락. 주의 — 가격 종가 피크는 W34(123.3만)로 공존, '관심 소멸·가격 잔존' 구간 W32~W36, -20% 이탈은 W37",2026-08-12,ignited
2022-W30,2022-W44,001570,diffusion,전파-1,L,"가격+이벤트 근거(트렌드 데이터 부재): 5주 +20%대 연쇄(+54.7% 등) 8.5천→3.0만. 밧데리 아저씨 서사 개시기",2026-08-12,ignited
2022-W45,2023-W06,001570,diffusion,조정,L,"횡보 조정 (2.5만 부근)",2026-08-12,ignited
2023-W07,2023-W14,001570,diffusion,재가속,L,"에코프로 전파기와 동조 급등 (+21.6/+22.9/+60.0)",2026-08-12,ignited
2023-W15,2023-W26,001570,diffusion,조정·재점화 대기,L,"몽골 MOU(W19)·박순혁 사퇴(W20)·코스피200 편입(W20) 이벤트 밀집 구간",2026-08-12,ignited
2023-W27,2023-W31,001570,saturation,과포화,L,"3주 연속 +20%대, 종가 피크 W31=155,400 — 에코프로 과포화-2와 동주기",2026-08-12,ignited
2023-W32,2024-W09,001570,decay,가격 이탈,L,"고점 이탈 하락기",2026-08-12,ignited
2024-W10,2024-W14,001570,diffusion,재점화(純서사형),L,"4695 발표 주(W10) +32.3% 고점 재접근 후 즉시 소멸 — §8.3 실물 미동반 재점화의 실측 사례",2026-08-12,ignited
2024-W15,2025-W11,001570,decay,붕괴 가속,L,"몽골 매출 전망 정정(2024-W40)·불성실공시 지정 — 서사 반증의 공시화",2026-08-12,ignited
2025-W12,2026-W33,001570,decay,시장 소멸(거래정지→상장폐지),L,"감사의견 거절(2025-W13), 9,900원 고정 평캔들 = 가격축 소멸의 완결형. network_status는 별도 관찰 필요",2026-08-12,ignited
2022-W26,2022-W47,000250,dormant,,L,"저변동 휴면",2026-08-12,ignited
2022-W48,2023-W46,000250,genesis,장주기 실타래,L,"바인딩 텀싯 공시 주(2022-W48, +35.8% 단발 반응) 후 저변동 지속 — 전문지 칸에만 존재한 실타래 구간(§8.4 제1질문)",2026-08-12,ignited
2023-W47,2024-W12,000250,diffusion,,L,"유럽 5개국 계약 보도(2023-11-21, W47)로 점화 — 실타래→점화 시차 약 51주",2026-08-12,ignited
2024-W13,2024-W27,000250,saturation,과포화-1(계약 서사),L,"9개국 독점 공급 공시 상한가(W13, +64.4%) → 종가 피크 196,700(W27)",2026-08-12,ignited
2024-W28,2025-W47,000250,decay,부분 소멸(텀싯 논란기),L,"고점 대비 반토막, 반복 정정공시 논란 — 네트워크 잔존 추정(재점화의 마른 장작)",2026-08-12,ignited
2025-W48,2026-W03,000250,diffusion,재점화,L,"저점 결집 후 재상승 개시",2026-08-12,ignited
2026-W04,2026-W13,000250,saturation,과포화-2,L,"6주 +20%대 연쇄, 종가 피크 111.1만(W13) = 코스닥 시총 1위 보도 주와 일치",2026-08-12,ignited
2026-W14,2026-W33,000250,decay,붕괴,L,"첫 주 -41.7%, 고점 대비 최대 -86.6%(W30). 불성실공시 지정(W17)·하한가·금감원 주시(W30) — 純서사형 재점화의 붕괴(§8.3)",2026-08-12,ignited
