Date,Open,High,Low,Close,Volume,Change
2022-07-01,13643,13738,12671,12901,2160481,-0.05452546720410412
2022-07-04,13071,13281,12462,12844,1279436,-0.004418262150220897
2022-07-05,12863,13797,12748,13797,1722724,0.07419806913734028
2022-07-06,13624,13890,13338,13396,968581,-0.029064289338261995
2022-07-07,13605,13758,13358,13416,543377,0.0014929829799941174
2022-07-08,13662,13966,13605,13606,791949,0.014162194394752525
2022-07-11,13720,13739,13263,13283,651346,-0.023739526679406153
2022-07-12,13053,13110,12728,12863,919597,-0.03161936309568625
2022-07-13,12766,13318,12537,13129,1500440,0.02067946824224509
2022-07-14,14481,15205,14062,14425,11271511,0.09871277325005723
2022-07-15,14312,15703,14292,15246,8234311,0.05691507798960149
2022-07-18,15320,15378,14483,15055,3359756,-0.012527876164239782
2022-07-19,14882,17150,14805,16865,9092218,0.12022583859183
2022-07-20,17037,18389,16922,17247,7784683,0.022650459531574185
2022-07-21,17302,17569,16616,16922,4653550,-0.01884385690264978
2022-07-22,17207,18141,17150,17589,6940737,0.03941614466375132
2022-07-25,17475,18161,17475,17647,3212354,0.0032975154926373484
2022-07-26,17550,17589,16541,17075,4555418,-0.03241344137813795
2022-07-27,16998,17455,16597,17418,1992804,0.02008784773060035
2022-07-28,17759,18026,16998,17265,3237175,-0.008784016534619354
2022-07-29,17339,17492,16863,17017,2242493,-0.014364320880393855
2022-08-01,17017,17607,16826,17494,2801792,0.028030792736675192
2022-08-02,17722,18046,17455,17704,3113635,0.012004115696810258
2022-08-03,17721,18922,17703,18847,11287989,0.06456168097605053
2022-08-04,18884,20008,18675,19514,7165303,0.03539024778479338
2022-08-05,19857,22677,19724,21897,18595588,0.12211745413549258
2022-08-08,21935,22715,21476,21935,5706794,0.0017353975430425272
2022-08-09,22181,23438,21934,22868,7442601,0.04253476179621618
2022-08-10,22810,23439,22505,22697,4378643,-0.007477698093405594
2022-08-11,23230,23363,22086,22678,4293767,-0.0008371150372296077
2022-08-12,22677,22677,21610,21649,4024385,-0.04537437163771052
2022-08-16,22010,22621,21762,22526,3742979,0.040509954270405046
2022-08-17,22543,22753,22239,22449,2393040,-0.003418272218769447
2022-08-18,22239,23325,22086,23078,3737872,0.02801906543721322
2022-08-19,23325,23343,21952,22049,3492251,-0.044587919230435924
2022-08-22,21400,22124,21362,21572,2485306,-0.02163363417842079
2022-08-23,21572,21781,20714,21020,3197517,-0.025588726126460237
2022-08-24,21324,21648,20466,21325,3693872,0.014509990485252144
2022-08-25,21418,21818,21076,21610,1990332,0.013364595545134916
2022-08-26,21647,21781,20733,20753,2959337,-0.03965756594169367
2022-08-29,19837,20580,19742,20276,2840425,-0.022984628728376588
2022-08-30,20484,21266,20217,20676,3294075,0.019727756954034392
2022-08-31,20581,21972,20486,21897,4884921,0.05905397562391168
2022-09-01,21667,22296,21248,21382,2921474,-0.023519203543864498
2022-09-02,21706,21934,20886,21192,2586822,-0.008885978860723953
2022-09-05,21191,21496,20638,20830,1981912,-0.01708191770479428
2022-09-06,20905,21457,20562,20963,2086456,0.006385021603456442
2022-09-07,21095,23192,20848,22945,8640648,0.09454753613509514
2022-09-08,23210,24563,22867,23764,7890440,0.03569405099150136
2022-09-13,24392,24831,23820,23917,4413036,0.006438310048813234
2022-09-14,23211,26183,23211,25613,8611102,0.07091190366684774
