날짜,시가,고가,저가,종가,거래량,등락률
2022-07-01,4910,5080,4670,4695,1385837,-4.959514170040486
2022-07-04,4800,4860,4440,4590,820228,-2.2364217252396164
2022-07-05,4610,4785,4570,4700,481516,2.3965141612200433
2022-07-06,4725,5080,4610,4860,1758425,3.404255319148936
2022-07-07,4890,4960,4780,4920,525681,1.2345679012345678
2022-07-08,4960,5250,4895,5200,1793487,5.691056910569105
2022-07-11,5230,5330,5140,5160,833630,-0.7692307692307693
2022-07-12,5060,5160,4995,5020,473480,-2.7131782945736433
2022-07-13,5010,5070,4920,4980,478977,-0.796812749003984
2022-07-14,4985,5020,4915,4945,322249,-0.7028112449799196
2022-07-15,4975,4975,4810,4945,337545,0.0
2022-07-18,4965,5110,4940,5090,369492,2.932254802831143
2022-07-19,5100,5270,5080,5160,506961,1.37524557956778
2022-07-20,5250,5350,5140,5200,771156,0.7751937984496124
2022-07-21,5240,5300,5150,5240,438884,0.7692307692307693
2022-07-22,5270,5750,5260,5520,5055042,5.343511450381679
2022-07-25,5560,7170,5550,7170,24705853,29.891304347826086
2022-07-26,7460,9320,7440,9320,59245347,29.9860529986053
2022-07-27,9210,9690,8870,9320,19662144,0.0
2022-07-28,9100,9100,8570,8750,6742289,-6.115879828326181
2022-07-29,8640,8960,8460,8540,5576178,-2.4
2022-08-01,8540,10050,8400,9560,17797057,11.943793911007026
2022-08-02,9400,9750,8840,9110,8081163,-4.707112970711297
2022-08-03,8510,8720,7610,7890,13839322,-13.391877058177826
2022-08-04,8030,9300,7810,8800,40401287,11.533586818757922
2022-08-05,8800,9470,8410,9000,15914190,2.272727272727273
2022-08-08,8960,9190,8910,9070,5499814,0.7777777777777778
2022-08-09,8250,8860,8150,8570,11912662,-5.512679162072767
2022-08-10,8630,10850,8600,10350,38608463,20.770128354725788
2022-08-11,10500,11700,10150,11000,25042913,6.280193236714976
2022-08-12,10800,11750,10550,11050,11289943,0.45454545454545453
2022-08-16,10700,10750,9790,10000,6267128,-9.502262443438914
2022-08-17,10200,10750,9950,10150,3582524,1.5
2022-08-18,9970,10400,9850,10350,1921134,1.9704433497536946
2022-08-19,10250,10500,9960,10000,1548149,-3.3816425120772946
2022-08-22,9900,10200,9550,10200,1714506,2.0
2022-08-23,10050,10350,10000,10350,1217580,1.4705882352941175
2022-08-24,10350,11450,10200,11000,5655580,6.280193236714976
2022-08-25,10800,11200,10750,11050,1706455,0.45454545454545453
2022-08-26,11150,11300,10850,11200,1886105,1.3574660633484164
2022-08-29,10750,12000,10600,11650,3289576,4.017857142857143
2022-08-30,11650,11900,11400,11900,2009660,2.1459227467811157
2022-08-31,11800,13150,11050,12050,5373907,1.2605042016806722
2022-09-01,11700,12250,11700,12100,1586011,0.4149377593360996
2022-09-02,12150,12250,11800,12100,1099212,0.0
2022-09-05,12600,13550,11350,13150,9487497,8.677685950413224
2022-09-06,12950,15650,12900,14850,19409079,12.927756653992395
2022-09-07,15200,16850,14950,16850,11763436,13.468013468013467
2022-09-08,16700,21250,16250,17450,25814302,3.5608308605341246
2022-09-13,17200,18000,15950,17700,11684668,1.4326647564469914
2022-09-14,17100,19500,16850,19100,12321360,7.909604519774012
2022-09-15,19650,21600,18950,20800,12790356,8.900523560209423
2022-09-16,20350,21300,19800,20550,4755864,-1.201923076923077
2022-09-19,20750,20850,16100,17300,11361724,-15.815085158150852
2022-09-20,17550,17800,16150,17100,8161690,-1.1560693641618496
2022-09-21,16900,17750,16600,17200,4548759,0.5847953216374269
2022-09-22,16800,20200,16650,19850,13759454,15.406976744186046
2022-09-23,20050,21350,18800,19150,9747942,-3.5264483627204033
2022-09-26,18750,19300,17700,17950,4549825,-6.266318537859007
2022-09-27,18350,18350,16900,18300,4670763,1.9498607242339834
2022-09-28,18300,19250,17500,17650,5630794,-3.551912568306011
2022-09-29,18100,18450,16300,16450,3277325,-6.79886685552408
2022-09-30,15550,16300,14900,15800,5348714,-3.951367781155015
2022-10-04,16750,16900,15850,16350,3493198,3.481012658227848
2022-10-05,16700,17900,16100,16600,5070441,1.529051987767584
2022-10-06,16450,17200,16200,17050,3315848,2.710843373493976
2022-10-07,16800,16950,15800,15800,2475315,-7.331378299120235
2022-10-11,15100,15600,14700,15450,2712076,-2.2151898734177213
2022-10-12,15500,15550,14350,14400,3663486,-6.796116504854369
2022-10-13,17200,18700,16250,18700,15826570,29.86111111111111
2022-10-14,18900,21550,18000,18650,23297781,-0.267379679144385
2022-10-17,18150,19050,17700,18800,6232987,0.8042895442359249
2022-10-18,20200,20250,18700,18900,5964767,0.5319148936170213
2022-10-19,18600,20300,18400,19550,8776590,3.439153439153439
2022-10-20,19550,20350,19250,19700,5096252,0.7672634271099744
2022-10-21,19500,19550,18400,18750,3029672,-4.822335025380711
2022-10-24,19000,19500,18400,19500,2657853,4.0
2022-10-25,19400,20150,19000,19900,3767043,2.051282051282051
2022-10-26,20000,20200,18600,18900,2868075,-5.025125628140704
2022-10-27,18800,19750,18700,19300,1773907,2.1164021164021163
2022-10-28,19300,25050,19150,24500,21013795,26.94300518134715
2022-10-31,25050,28150,24500,27500,19867174,12.244897959183673
2022-11-01,27200,29750,26800,28900,12022735,5.090909090909091
2022-11-02,29250,34550,28900,31850,15785198,10.207612456747404
2022-11-03,30550,32850,30350,31750,5801361,-0.3139717425431711
2022-11-04,31800,32250,29250,29800,4277410,-6.141732283464567
2022-11-07,29150,33600,28350,32800,11245390,10.06711409395973
2022-11-08,33200,33800,31850,32100,4403556,-2.1341463414634148
2022-11-09,32900,41500,32750,40100,19313857,24.922118380062305
2022-11-10,36250,38850,31800,31950,12554355,-20.32418952618454
2022-11-11,34050,34450,28300,31800,17955765,-0.4694835680751174
2022-11-14,30600,32050,30400,30850,3834812,-2.9874213836477987
2022-11-15,31350,31400,29300,30000,3556009,-2.755267423014587
2022-11-16,30000,33300,28900,31350,8685945,4.5
2022-11-17,30750,32000,30400,31500,2103226,0.4784688995215311
2022-11-18,31200,31700,30700,30900,1154031,-1.9047619047619049
2022-11-21,31250,32800,30950,32700,3421532,5.825242718446602
2022-11-22,33200,34950,32050,33500,5122338,2.4464831804281344
2022-11-23,33850,33900,32000,33650,2571721,0.44776119402985076
2022-11-24,33300,33650,32150,32350,2215029,-3.863298662704309
2022-11-25,32450,33500,30450,30650,3379771,-5.255023183925812
2022-11-28,29850,29900,27300,27650,4316272,-9.787928221859707
2022-11-29,27050,30300,26850,28250,6046715,2.1699819168173597
2022-11-30,30100,31050,28700,29150,4462956,3.185840707964602
2022-12-01,29550,34600,29150,32050,13784862,9.948542024013722
2022-12-02,32350,32900,30900,31950,4097757,-0.31201248049922
2022-12-05,32650,33000,31500,31850,2666594,-0.3129890453834116
2022-12-06,31100,31600,29900,30150,1609453,-5.337519623233909
2022-12-07,29550,30950,29100,29950,1648778,-0.6633499170812603
2022-12-08,30050,30350,28500,28750,1675748,-4.006677796327212
2022-12-09,29200,29400,27500,27800,1912795,-3.304347826086956
2022-12-12,27300,28550,26600,27900,2166630,0.3597122302158274
2022-12-13,28200,28500,26800,26800,1341284,-3.942652329749104
2022-12-14,26850,27300,26400,27050,1180923,0.9328358208955223
2022-12-15,26550,26750,25300,25500,2103541,-5.730129390018484
2022-12-16,24700,26300,24200,24200,2889124,-5.098039215686274
2022-12-19,24050,28950,24050,26850,12534960,10.950413223140496
2022-12-20,26650,26850,25100,25100,3868570,-6.517690875232775
2022-12-21,25850,26550,24500,24700,2649376,-1.593625498007968
2022-12-22,24900,25150,24100,24700,1869407,0.0
2022-12-23,25700,26150,24550,24550,5272304,-0.6072874493927125
2022-12-26,24400,24400,22750,23200,2126258,-5.4989816700611
2022-12-27,23550,26000,23550,25100,6906445,8.189655172413794
2022-12-28,24650,25000,23400,23600,2365630,-5.9760956175298805
2022-12-29,23750,24300,23300,23900,1561996,1.2711864406779663
2023-01-02,23400,24550,22800,23450,1972335,-1.882845188284519
2023-01-03,24850,27000,24200,24550,10132067,4.690831556503198
2023-01-04,24600,26250,24600,24950,3085200,1.6293279022403258
2023-01-05,25300,25750,24250,24400,1985675,-2.2044088176352705
2023-01-06,24100,25350,23800,24600,1605884,0.819672131147541
2023-01-09,24800,25250,24650,25200,1279740,2.4390243902439024
2023-01-10,25450,25650,24800,24800,1408774,-1.5873015873015872
2023-01-11,24900,25450,24900,25350,1158658,2.217741935483871
2023-01-12,25700,26200,25250,25350,2166386,0.0
2023-01-13,25550,25850,25050,25150,1132024,-0.7889546351084813
2023-01-16,25250,25250,24400,24750,1040363,-1.5904572564612325
2023-01-17,24800,24950,23950,24200,994337,-2.2222222222222223
2023-01-18,24200,24250,23300,23400,1067495,-3.3057851239669422
2023-01-19,23000,23500,22750,22800,952622,-2.564102564102564
2023-01-20,22600,23700,22500,23050,858476,1.0964912280701753
2023-01-25,23200,23800,23150,23450,853366,1.735357917570499
2023-01-26,23500,25300,23400,24800,5115227,5.756929637526652
2023-01-27,25450,26000,24800,24950,2572135,0.6048387096774194
2023-01-30,25300,27350,25250,26200,5926831,5.01002004008016
2023-01-31,26250,26600,25450,26400,2143629,0.7633587786259541
2023-02-01,26600,26950,25850,26100,1748144,-1.1363636363636365
2023-02-02,26900,27150,26200,26350,1727818,0.9578544061302682
2023-02-03,25700,25950,25200,25550,1386015,-3.0360531309297913
2023-02-06,25550,26850,25300,26750,1951862,4.6966731898238745
2023-02-07,26850,27150,26450,26650,1595357,-0.3738317757009346
2023-02-08,26650,26850,25800,26000,1197529,-2.4390243902439024
2023-02-09,26000,26900,25800,26400,1581752,1.5384615384615385
2023-02-10,26400,27400,26250,26450,1914034,0.1893939393939394
2023-02-13,26700,28850,26650,28050,6550146,6.049149338374291
2023-02-14,28450,30050,27500,29800,3590673,6.23885918003565
2023-02-15,30350,32600,29950,30400,7004483,2.013422818791946
2023-02-16,31000,32400,30850,31900,4378253,4.934210526315789
2023-02-17,31400,33250,30700,32150,5189674,0.7836990595611284
2023-02-20,32700,32800,30500,31050,2339295,-3.421461897356143
2023-02-21,31400,34700,30450,34700,8826019,11.755233494363928
2023-02-22,34900,41700,34800,36000,24147601,3.7463976945244957
2023-02-23,37450,39550,36500,38950,9837617,8.194444444444445
2023-02-24,38100,40900,37050,39500,9074627,1.4120667522464698
2023-02-27,38900,40200,38200,39050,3541404,-1.139240506329114
2023-02-28,39800,41150,37850,38500,4520725,-1.4084507042253522
2023-03-02,38850,44850,38850,42900,15284172,11.428571428571429
2023-03-03,43000,44150,42100,43900,4445748,2.331002331002331
2023-03-06,44850,45250,43350,45250,3791732,3.0751708428246016
2023-03-07,45050,55400,44250,53100,12826185,17.34806629834254
2023-03-08,52000,54300,50100,53500,5432022,0.7532956685499058
2023-03-09,51600,51800,45750,46350,5598893,-13.36448598130841
2023-03-10,45000,50700,44400,48150,6679726,3.8834951456310676
2023-03-13,47350,49400,46100,48300,3341832,0.3115264797507788
2023-03-14,48800,49250,45150,46500,2518348,-3.7267080745341614
2023-03-15,48000,50600,47700,49650,4216786,6.774193548387098
2023-03-16,50300,51000,47400,48650,2904851,-2.014098690835851
2023-03-17,50100,50100,46650,47450,2491866,-2.466598150051387
2023-03-20,45500,49400,45100,48750,2346280,2.73972602739726
2023-03-21,49650,62800,49150,60600,15701440,24.307692307692307
2023-03-22,62000,63700,60200,61600,5655617,1.65016501650165
2023-03-23,61200,79400,61100,72200,14169172,17.20779220779221
2023-03-24,75500,77900,69800,75900,5593676,5.124653739612189
2023-03-27,76400,82500,73200,77800,4088638,2.503293807641634
2023-03-28,80000,80300,72100,75500,2569478,-2.956298200514139
2023-03-29,75500,78600,73000,77000,1929546,1.9867549668874174
2023-03-30,78000,82000,77000,79000,1885339,2.5974025974025974
2023-03-31,77700,80400,76100,78500,1196258,-0.6329113924050633
2023-04-03,79000,80000,72800,78800,2361129,0.3821656050955414
2023-04-04,78800,84500,77000,77900,2897517,-1.1421319796954315
2023-04-05,77900,80000,76400,79900,1325008,2.5673940949935816
2023-04-06,80700,83000,79500,81100,1348294,1.5018773466833542
2023-04-07,81900,85000,80600,84900,2341406,4.68557336621455
2023-04-10,85500,92500,84200,89500,3597223,5.418138987043581
2023-04-11,89500,89700,81500,87800,1991383,-1.899441340782123
2023-04-12,86000,86000,74700,75000,3980826,-14.578587699316628
2023-04-13,70100,74700,66000,71200,3867669,-5.066666666666666
2023-04-14,75000,82400,74800,77100,3655784,8.286516853932584
2023-04-17,77000,79300,74200,77600,2072953,0.648508430609598
2023-04-18,78200,78900,75000,75800,1484084,-2.3195876288659796
2023-04-19,74900,75400,69200,69700,2404552,-8.047493403693931
2023-04-20,67700,71900,67200,68200,1874645,-2.1520803443328553
2023-04-21,67300,68800,64500,65400,1659541,-4.105571847507331
2023-04-24,62400,64100,59200,63600,3398569,-2.7522935779816518
2023-04-25,62800,63200,57500,58900,2161175,-7.3899371069182385
2023-04-26,62400,66600,59700,60000,3217048,1.8675721561969438
2023-04-27,58600,67100,57600,66200,2988137,10.333333333333334
2023-04-28,69900,72000,65600,66800,2535635,0.906344410876133
2023-05-02,67000,70500,65000,65400,1464968,-2.095808383233533
2023-05-03,65400,65900,62000,62300,879776,-4.740061162079511
2023-05-04,61100,62800,60100,62000,776427,-0.4815409309791332
2023-05-08,63000,63600,60200,60300,601031,-2.741935483870968
2023-05-09,60100,61600,58000,59700,790522,-0.9950248756218906
2023-05-10,59200,60600,57200,57400,807793,-3.8525963149078724
2023-05-11,69100,70400,62000,67800,5587318,18.118466898954704
2023-05-12,66400,70200,62000,62000,2886001,-8.55457227138643
2023-05-15,63200,66900,60700,61500,1669850,-0.8064516129032258
2023-05-16,59300,60000,54000,55900,3274131,-9.105691056910569
2023-05-17,53600,54300,50800,53500,3062670,-4.293381037567084
2023-05-18,55200,56500,53500,54000,1682443,0.9345794392523363
2023-05-19,53400,54900,51600,54700,1182612,1.2962962962962963
2023-05-22,53600,55700,51700,55000,2315184,0.5484460694698354
2023-05-23,54300,56600,53500,55100,1741165,0.18181818181818182
2023-05-24,54500,54900,53100,53500,921855,-2.9038112522686026
2023-05-25,52800,53400,51500,52200,703857,-2.4299065420560746
2023-05-26,52100,52100,48350,48950,2046788,-6.226053639846743
2023-05-30,48300,48900,46100,48900,1622261,-0.10214504596527069
2023-05-31,49050,49350,47700,48250,1093217,-1.329243353783231
2023-06-01,48300,51600,47700,48200,1957084,-0.10362694300518134
2023-06-02,48300,48850,47850,48400,921617,0.4149377593360996
2023-06-05,48800,52200,48750,50500,1942515,4.338842975206612
2023-06-07,51200,52800,50000,52200,1660960,3.3663366336633667
2023-06-08,52500,58900,50600,57000,5398629,9.195402298850574
2023-06-09,56200,56200,53500,54800,3118974,-3.8596491228070176
2023-06-12,54800,55600,53000,55000,1821826,0.36496350364963503
2023-06-13,55200,56200,54000,55300,1347114,0.5454545454545455
2023-06-14,56200,64500,56000,58600,7353269,5.967450271247739
2023-06-15,61700,63500,58900,60400,2907785,3.0716723549488054
2023-06-16,61300,61400,58500,60300,1249341,-0.16556291390728478
2023-06-19,60000,61200,59200,59400,991452,-1.4925373134328357
2023-06-20,59500,62800,57600,60300,1856518,1.5151515151515151
2023-06-21,60000,60800,58700,58800,752381,-2.4875621890547266
2023-06-22,59200,60000,58800,59600,617807,1.3605442176870748
2023-06-23,59400,59600,57700,58100,619341,-2.5167785234899327
2023-06-26,56500,57400,55300,56000,789716,-3.614457831325301
2023-06-27,55300,55400,52700,53600,949194,-4.285714285714286
2023-06-28,54500,54900,53100,53700,681055,0.18656716417910446
2023-06-29,53400,53700,52000,52300,545793,-2.60707635009311
2023-06-30,54600,56000,52400,53100,822038,1.5296367112810707
2023-07-03,53100,56400,52600,55800,1011297,5.084745762711865
2023-07-04,56600,60400,56500,58800,1709090,5.376344086021505
2023-07-05,61100,73600,60700,71200,9219700,21.08843537414966
2023-07-06,73000,75300,70900,73600,4583816,3.3707865168539324
2023-07-07,74200,87800,74000,83000,9965616,12.771739130434783
2023-07-10,85600,88500,83000,86900,4623967,4.698795180722891
2023-07-11,89100,108800,88500,105900,10413568,21.86421173762946
2023-07-12,101300,101300,92700,94300,6351466,-10.953729933899906
2023-07-13,89700,97100,86500,95000,6089556,0.7423117709437964
2023-07-14,95000,103600,90500,101300,5960077,6.631578947368421
2023-07-17,105400,115200,102000,112500,6387697,11.056268509378086
2023-07-18,106500,117100,105000,111200,5183703,-1.1555555555555554
2023-07-19,114100,116400,109400,111300,3153673,0.08992805755395684
2023-07-20,106000,111300,105900,108500,2651052,-2.515723270440252
2023-07-21,111700,128900,110900,122400,9514146,12.811059907834101
2023-07-24,130500,145000,126500,143200,5132902,16.99346405228758
2023-07-25,143200,157500,143200,150900,2828497,5.377094972067039
2023-07-26,163500,194000,126200,152200,8541007,0.8614976805831678
2023-07-27,156800,163500,108200,118000,8250389,-22.470433639947437
2023-07-28,110000,134600,105400,134100,7337957,13.644067796610168
2023-07-31,146700,160800,141000,159100,4556204,18.64280387770321
2023-08-01,163000,171200,146800,151900,5524075,-4.525455688246386
2023-08-02,143700,154700,137400,138100,3220373,-9.084924292297563
2023-08-03,146100,149000,135000,149000,2847448,7.892831281679942
2023-08-04,152000,158400,148000,155400,2325983,4.295302013422819
2023-08-07,157800,160000,132500,146100,3951291,-5.984555984555985
2023-08-08,142000,145500,134100,139900,3056904,-4.243668720054758
2023-08-09,142000,153400,141300,143100,2842013,2.28734810578985
2023-08-10,145000,147300,141300,143600,1372576,0.3494060097833683
2023-08-11,139800,139900,128000,129900,2958557,-9.540389972144848
2023-08-14,123200,134900,122000,131100,2344460,0.9237875288683602
2023-08-16,126100,128800,119600,119800,1740805,-8.619374523264684
2023-08-17,119200,132700,118500,132500,2969257,10.601001669449083
2023-08-18,134200,135700,125000,127800,1705722,-3.547169811320755
2023-08-21,126000,136800,126000,132900,1439390,3.9906103286384975
2023-08-22,134000,136500,127000,129600,2045816,-2.4830699774266365
2023-08-23,130700,130900,123300,123900,1001401,-4.398148148148148
2023-08-24,126100,127400,121500,124400,982491,0.40355125100887806
2023-08-25,121600,130000,120300,126500,1127350,1.6881028938906755
2023-08-28,129200,132600,127600,132000,1005752,4.3478260869565215
2023-08-29,132500,137900,127300,133600,1600086,1.2121212121212122
2023-08-30,135200,135800,129100,129500,1039854,-3.0688622754491015
2023-08-31,128500,129500,126000,129000,897335,-0.3861003861003861
2023-09-01,128600,128600,124500,125800,590604,-2.4806201550387597
2023-09-04,123000,127500,121600,126300,616639,0.39745627980922094
2023-09-05,126000,129300,123400,128200,719185,1.5043547110055424
2023-09-06,128800,138000,128800,132900,2062772,3.6661466458658345
2023-09-07,133200,133400,126000,130100,889706,-2.1068472535741156
